City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
12,sao jose da coroa grande,BR,79.14,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
13,ondjiva,AO,71.15,light rain,-17.0667,15.7333,COMBUESA
20,rikitea,PF,77.65,light rain,-23.1203,-134.9692,People ThankYou
25,port alfred,ZA,71.02,overcast clouds,-33.5906,26.891,The Halyards Hotel
26,cassilandia,BR,75.63,light rain,-19.1133,-51.7342,Delirius Motel
35,pimentel,PE,71.89,clear sky,-6.8367,-79.9342,Casona Del Muelle
37,saint-philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
43,bambous virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
45,castro,BR,71.85,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
49,atar,MR,70.83,broken clouds,20.5169,-13.0499,Oumou Elghoura
57,ambilobe,MG,72.95,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
65,quatre cocos,MU,73.51,overcast clouds,-20.2078,57.7625,Sunrise Attitude Hotel
67,arraial do cabo,BR,76.69,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
68,mudgal,IN,70.0,overcast clouds,16.0167,76.4333,PRINCE TYERS
78,richards bay,ZA,75.0,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
80,galle,LK,77.25,overcast clouds,6.0367,80.217,Amangalla
87,gaoua,BF,79.93,scattered clouds,10.2992,-3.2508,
91,oum hadjer,TD,75.74,broken clouds,13.2954,19.6966,
96,east london,ZA,71.85,light rain,-33.0153,27.9116,Tu Casa
98,mercedes,AR,78.85,overcast clouds,-34.6515,-59.4307,Posada del Inti Centro
99,mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
105,mar del plata,AR,71.62,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
108,itarantim,BR,70.12,broken clouds,-15.6597,-40.0656,Pousada Buterfly
109,avarua,CK,73.45,heavy intensity rain,-21.2078,-159.775,Paradise Inn
115,almeirim,BR,78.37,broken clouds,-1.5233,-52.5817,Ricácio Hotel
116,nuevo progreso,MX,71.6,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
134,sinnamary,GF,77.09,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
136,hilo,US,79.11,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
138,axim,GH,79.77,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
149,vallenar,CL,71.96,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
157,georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
166,atuona,PF,79.11,few clouds,-9.8,-139.0333,Villa Enata
169,grand gaube,MU,73.8,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
174,kinkala,CG,71.91,overcast clouds,-4.3614,14.7644,Hotel la Pepeche Kinkala
177,bengkulu,ID,74.77,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
183,obo,CF,75.04,broken clouds,5.3998,26.4869,
184,ngunguru,NZ,72.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
187,carnarvon,AU,71.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
188,cidreira,BR,71.49,clear sky,-30.1811,-50.2056,Hotel Castelo
194,salalah,OM,71.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
196,yanam,IN,74.1,light rain,16.7333,82.2167,The Regency Hotel
197,mount darwin,ZW,71.35,clear sky,-16.7725,31.5838,
202,rosa zarate,EC,71.65,light rain,0.3333,-79.4667,Piscinas y Recepciones Hecalash
207,port elizabeth,ZA,71.1,overcast clouds,-33.918,25.5701,39 On Nile Guest House
208,mayumba,GA,76.33,overcast clouds,-3.432,10.6554,LIKWALE LODGE
210,san cristobal,VE,73.58,broken clouds,7.7669,-72.225,Posada Villaven C.A.
213,sao gabriel da cachoeira,BR,75.99,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
214,paka,MY,76.93,scattered clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
215,padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
216,bela vista de goias,BR,72.75,overcast clouds,-16.9728,-48.9533,Victoria Palace Hotel
220,atambua,ID,78.06,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
231,cabo san lucas,MX,76.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
233,maracacume,BR,79.61,broken clouds,-2.0428,-45.9592,Hotel Ramos
235,beloha,MG,72.0,broken clouds,-25.1667,45.05,
236,basco,PH,75.97,broken clouds,20.4487,121.9702,Nathaniel's Lodge
237,dingle,PH,76.8,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
240,banda aceh,ID,77.07,few clouds,5.5577,95.3222,Sulthan Hotel International
243,sao joao da barra,BR,76.21,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
246,murray bridge,AU,74.46,scattered clouds,-35.1167,139.2667,Balcony On Sixth Lodge
254,warrnambool,AU,77.81,broken clouds,-38.3833,142.4833,Lady Bay Resort
256,meiganga,CM,70.59,broken clouds,6.5167,14.3,DFR HOUSE
259,namibe,AO,71.4,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
265,bhavnagar,IN,72.18,clear sky,21.7667,72.15,Hotel Relax Inn
269,labuhan,ID,78.58,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
270,phangnga,TH,73.44,scattered clouds,8.4509,98.5298,Sunimit Mansion
277,porto nacional,BR,73.4,overcast clouds,-10.7081,-48.4172,Vila Real Hotel
282,moerai,PF,77.58,light rain,-22.4333,-151.3333,Le Manotel
284,limpapa,PH,76.33,scattered clouds,7.1197,121.9106,The Ranch ZC
288,sao filipe,CV,74.89,overcast clouds,14.8961,-24.4956,Hotel Xaguate
295,ahipara,NZ,70.56,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
298,cabedelo,BR,79.47,few clouds,-6.9811,-34.8339,Hotel Pigalle
300,mvuma,ZW,71.51,broken clouds,-19.2792,30.5283,Nyangombe Backpackers
305,mbandaka,CD,71.58,overcast clouds,0.0487,18.2603,Guest House Epervier
310,belmonte,BR,77.5,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
311,chiredzi,ZW,79.03,broken clouds,-21.05,31.6667,Clevers Hotel Chiredzi
315,ballina,AU,75.38,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
316,tsaratanana,MG,72.36,overcast clouds,-16.7833,47.65,
319,sao paulo de olivenca,BR,76.5,overcast clouds,-3.3783,-68.8725,
324,guiratinga,BR,72.64,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
325,saint-pierre,RE,76.68,few clouds,-21.3393,55.4781,Lindsey Hôtel
326,yambio,SS,71.89,overcast clouds,4.5721,28.3955,Naivasha Hotel
333,puerto leguizamo,CO,79.83,scattered clouds,-0.1934,-74.7819,la casona de juancho
337,jawhar,SO,75.25,broken clouds,2.7809,45.5005,hantiwadaag village part one
349,pombas,CV,71.38,broken clouds,17.1503,-25.0201,Paul Paradis
350,palpa,PE,77.31,broken clouds,-14.5336,-75.1856,Palpa Lines
352,beroroha,MG,78.04,broken clouds,-21.6667,45.1667,
354,mitsamiouli,KM,79.92,overcast clouds,-11.3847,43.2844,Foyer ADM
357,kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
359,castilho,BR,76.12,broken clouds,-20.8722,-51.4875,D S Oliveira Hotel
360,tobias barreto,BR,73.99,broken clouds,-11.1839,-37.9983,Pousada Moura
364,maragogi,BR,79.03,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
365,qandala,SO,75.2,clear sky,11.472,49.8728,
367,balsas,BR,77.31,overcast clouds,-7.5325,-46.0356,Novo Hotel
368,ouesso,CG,72.52,overcast clouds,1.6136,16.0517,ABENIE Hotel
369,meulaboh,ID,75.45,overcast clouds,4.1363,96.1285,Kost Pria
378,huarmey,PE,70.47,broken clouds,-10.0681,-78.1522,Hotel Miramar
379,adre,TD,70.39,broken clouds,13.4667,22.2,
381,kismayo,SO,79.86,scattered clouds,-0.3582,42.5454,Agan-Hotel
382,tabuk,PH,70.41,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
383,gat,IL,72.79,overcast clouds,31.61,34.7642,OlusHome
387,playa vicente,MX,72.12,broken clouds,17.8333,-95.8167,"Hotel ""Imperio"""
390,salvador,SV,77.4,broken clouds,13.8333,-88.9167,Chico's Ranch
392,bandarbeyla,SO,76.41,clear sky,9.4942,50.8122,JABIR HOTEL
393,mandiana,GN,76.37,broken clouds,10.6333,-8.6833,Motels rouzo
394,kiunga,PG,75.31,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
402,itaituba,BR,75.52,overcast clouds,-4.2761,-55.9836,Hotel Campos
403,souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
407,el tigre,VE,76.35,overcast clouds,8.8875,-64.2454,Hotel Santa Cruz
416,sao felix do xingu,BR,73.96,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
417,general roca,AR,70.63,few clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
428,sibolga,ID,75.42,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
430,manggar,ID,78.13,overcast clouds,-2.8833,108.2667,Guest Hotel
431,yarada,IN,75.52,mist,17.65,83.2667,Vishranti
432,owando,CG,71.2,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
442,marabba,SD,79.27,few clouds,12.35,32.1833,
444,pontianak,ID,75.18,mist,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
445,tadpatri,IN,70.59,overcast clouds,14.9167,78.0167,B Ravi kumar
456,coron,PH,78.89,overcast clouds,11.9986,120.2043,Coron Westown Resort
459,kalmunai,LK,77.04,overcast clouds,7.4167,81.8167,VS Villa
472,cururupu,BR,79.2,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
487,vila velha,BR,78.94,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
491,tshikapa,CD,71.85,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
492,angoche,MZ,76.75,clear sky,-16.2325,39.9086,Guest House HESADA
498,guasdualito,VE,79.61,broken clouds,7.2424,-70.7324,Hotel Cuibas
507,bataipora,BR,76.17,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
508,port-gentil,GA,79.45,overcast clouds,-0.7193,8.7815,Fengshui Residence
509,rey bouba,CM,74.57,broken clouds,8.6724,14.1786,
515,port shepstone,ZA,73.69,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
517,daru,PG,79.16,overcast clouds,-9.0763,143.2092,Daru Lodge
521,rio grande,BR,73.51,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
524,guanajuato,MX,74.3,broken clouds,21.0186,-101.2591,Hotel Posada Santa Fe
533,hambantota,LK,78.08,overcast clouds,6.1241,81.1185,Bungalow 63
537,palauig,PH,77.94,overcast clouds,15.435,119.9045,Alperi Botique Resort
539,cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
540,kollam,IN,78.67,broken clouds,8.8833,76.6,Nani Hotels and Resorts
548,viedma,AR,73.99,broken clouds,-40.8135,-62.9967,Hotel Cristal
550,vao,NC,75.67,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
553,kalabo,ZM,77.29,overcast clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
554,merritt island,US,74.08,overcast clouds,28.5392,-80.672,
557,ilhabela,BR,75.4,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
559,tadine,NC,78.39,overcast clouds,-21.55,167.8833,
561,araouane,ML,71.06,scattered clouds,18.9048,-3.5265,
565,paysandu,UY,75.96,overcast clouds,-32.3214,-58.0756,Gran Hotel Paysandú
566,luangwa,ZM,77.65,scattered clouds,-15.6167,30.4167,Gerasimos Safari Lodge
576,santa cruz,BO,78.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
578,caravelas,BR,76.62,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
580,matara,LK,76.42,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
585,eyl,SO,75.02,few clouds,7.9803,49.8164,Amiin Hotel
586,dawei,MM,73.04,clear sky,14.0833,98.2,Hotel Dawei
590,dakar,SN,77.88,broken clouds,14.6937,-17.4441,Redface Studios Meublés
592,samfya,ZM,75.43,broken clouds,-11.3649,29.5565,Chita Lodge Samfya
594,san vicente,AR,74.53,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
595,barranquilla,CO,78.58,clear sky,10.9639,-74.7964,Hotel Don Jorge
600,boende,CD,72.57,broken clouds,-0.2167,20.8667,
608,inhambane,MZ,78.31,clear sky,-23.865,35.3833,Oceano
609,pangkalanbuun,ID,74.37,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
611,dubbo,AU,71.73,clear sky,-32.25,148.6167,Comfort Inn Blue Lagoon
615,cockburn town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
616,san rafael,AR,71.91,clear sky,-34.6177,-68.3301,Hotel San Rafael
619,kasongo-lunda,CD,71.11,overcast clouds,-6.4667,16.8167,
621,la palma,US,70.2,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
624,san policarpo,PH,79.77,overcast clouds,12.1791,125.5072,Agapita M. Nicart
627,batemans bay,AU,75.2,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
636,sri aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
646,cap malheureux,MU,73.89,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
653,jutai,BR,76.24,broken clouds,-5.1833,-68.9,
664,san juan de uraba,CO,77.99,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
670,shakawe,BW,70.25,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
672,wattegama,LK,72.73,overcast clouds,6.7989,81.4808,
676,moron,AR,79.02,broken clouds,-34.6534,-58.6198,Hotel Morón
679,bombay,IN,78.78,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
